STF_ID,uM,%Pos  W2/Med,%Inh Cells/High,CanonicalSmiles,Selectivity,target
STF-002167,-0.7674335242015328,92.0,-24.9,C1=CC=C2C(=C1)C(=CN2)C=C(C#N)C(=O)C3=CC(=C(C=C3)O)O,0.13745704467353953,0
STF-002988,-0.7674335242015328,18.4,5.4,C1OC2=C(O1)C=C(C=C2)C=CC=CC(=O)O,0.025974025974025976,-1
STF-001479,-0.7674335242015328,127.2,-12.0,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,0.19858156028368795,0
STF-001539,-0.7674335242015328,126.5,-10.3,C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3,0.01675977653631285,0
STF-006660,1.7955864944240147,92.4,-2.1,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,0.01974333662388944,0
STF-006329,0.3308152800757723,141.5,51.6,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,0.045016077170418015,1
STF-006777,0.3308152800757723,86.7,3.7,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.C(C(C(C(C(C(=O)O)O)O)O)O)O,0.0,0
STF-001518,-0.7674335242015328,110.0,-12.0,CC(=CCCC(=CCCC(=CCSC1=CC=CC=C1C(=O)O)C)C)C,0.1484375,0
STF-001526,0.3308152800757723,73.1,-13.0,CN(C)C1=NC=C2C(=C1)C(=NC=N2)NC3=CC4=C(C=C3)N(N=C4)CC5=CC=CC=C5,0.14285714285714285,0
STF-001623,-0.9506947292370014,102.0,-3.8,C1CN=C(N1)N(CC2=CC=C(C=C2)F)C3=C(C=CC=C3Cl)Cl,0.015503875968992246,0
STF-001898,0.3308152800757723,103.5,16.2,CC1=CN(C(=O)C=C1)C2=CC=CC=C2,0.0049504950495049506,0
STF-007407,-0.9506947292370014,101.6,-18.0,CC(=O)CC1CCCCN1,0.0,0
STF-007210,-0.7674335242015328,87.3,-15.3,CC(=O)OC1CC2C(C(=O)CCC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C(=O)OC)C)C)(C)C,0.0,0
STF-007007,-0.7674335242015328,114.1,0.8,COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3,0.022727272727272728,0
STF-002393,-0.7674335242015328,40.8,36.5,C1C=C2C(=CC(=O)O2)C(O1)O,0.3113207547169811,-1
STF-006591,-0.9506947292370014,83.2,-14.9,CC1=C2C(=C(C(=C1C)OC(=O)C)C)CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C,0.0,0
STF-006552,0.3308152800757723,114.0,-14.1,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,0.07977528089887641,0
STF-006478,-0.4009111141305953,96.1,4.5,CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O,0.013861386138613863,0
STF-007659,-0.4009111141305953,81.5,-2.2,CN1CC(=O)N=C1N,0.003690036900369004,0
STF-002069,0.3308152800757723,97.8,-10.3,C1=CC=C2C(=C1)C=CC(=N2)COC3=CC=CC(=C3)NC4=CC=CC=C4C(=O)O,0.055276381909547735,0
STF-001470,0.3308152800757723,105.2,-10.3,CC(C1=C(C(=CC=C1)Cl)Cl)N,0.07936507936507936,0
STF-001513,-0.4009111141305953,96.7,-0.8,CNCC(C1=CC(=C(C=C1)O)O)O,0.04838709677419355,0
