STF_ID,uM,%Pos  W2/Med,%Inh Cells/High,CanonicalSmiles,Selectivity,target
STF-001167,5.56,89.4,-4.1,C1CN=C(N1)C2=NC3=CC=CC=C3C=C2,0.027777777777777776,0
STF-001167,11.11,122.2,-4.9,C1CN=C(N1)C2=NC3=CC=CC=C3C=C2,0.027777777777777776,0
STF-001167,22.22,114.9,-7.1,C1CN=C(N1)C2=NC3=CC=CC=C3C=C2,0.027777777777777776,0
STF-001246,1.39,73.6,-24.6,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2Cl)Cl)C3=CC=C(C=C3)Cl,0.013207547169811321,0
STF-001246,2.78,115.3,-12.9,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2Cl)Cl)C3=CC=C(C=C3)Cl,0.013207547169811321,0
STF-001246,5.56,98.3,-13.4,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2Cl)Cl)C3=CC=C(C=C3)Cl,0.013207547169811321,0
STF-001246,11.11,93.4,-19.3,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2Cl)Cl)C3=CC=C(C=C3)Cl,0.013207547169811321,0
STF-001246,22.22,105.6,-5.6,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2Cl)Cl)C3=CC=C(C=C3)Cl,0.013207547169811321,0
STF-001168,1.39,89.3,-20.6,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,0.01601164483260553,0
STF-001168,2.78,98.2,-9.3,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,0.01601164483260553,0
STF-001168,5.56,90.0,-22.6,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,0.01601164483260553,0
STF-001168,11.11,115.4,-13.0,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,0.01601164483260553,0
STF-001168,22.22,110.7,-13.9,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,0.01601164483260553,0
STF-001169,1.39,96.9,-18.0,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC(C)(C)CO,0.03264604810996564,0
STF-001169,2.78,87.8,-20.5,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC(C)(C)CO,0.03264604810996564,0
STF-001169,5.56,113.8,-4.1,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC(C)(C)CO,0.03264604810996564,0
STF-001169,11.11,108.8,-12.1,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC(C)(C)CO,0.03264604810996564,0
STF-001169,22.22,106.4,-10.2,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC(C)(C)CO,0.03264604810996564,0
STF-001170,1.39,65.2,-21.7,CN(C)CCC=C1C2=C(C=C(C=C2)Cl)SC3=CC=CC=C31,0.05172413793103448,-1
STF-001170,2.78,57.7,-15.3,CN(C)CCC=C1C2=C(C=C(C=C2)Cl)SC3=CC=CC=C31,0.05172413793103448,-1
STF-001170,5.56,75.3,1.4,CN(C)CCC=C1C2=C(C=C(C=C2)Cl)SC3=CC=CC=C31,0.05172413793103448,0
STF-001170,11.11,80.7,-6.7,CN(C)CCC=C1C2=C(C=C(C=C2)Cl)SC3=CC=CC=C31,0.05172413793103448,0
STF-001170,22.22,93.4,10.9,CN(C)CCC=C1C2=C(C=C(C=C2)Cl)SC3=CC=CC=C31,0.05172413793103448,0
STF-001011,1.39,111.7,0.4,C1=CC=C(C=C1)NC2=CC=CC=C2C(=O)O,0.029173419773095625,0
STF-001011,2.78,116.4,-2.7,C1=CC=C(C=C1)NC2=CC=CC=C2C(=O)O,0.029173419773095625,0
STF-001011,5.56,102.8,-5.1,C1=CC=C(C=C1)NC2=CC=CC=C2C(=O)O,0.029173419773095625,0
STF-001011,11.11,101.1,-1.3,C1=CC=C(C=C1)NC2=CC=CC=C2C(=O)O,0.029173419773095625,0
STF-001011,22.22,121.4,1.9,C1=CC=C(C=C1)NC2=CC=CC=C2C(=O)O,0.029173419773095625,0
STF-001091,1.39,101.9,-0.7,C(CC(C(=O)O)N)CC(=O)O,0.038461538461538464,0
STF-001091,2.78,118.0,0.6,C(CC(C(=O)O)N)CC(=O)O,0.038461538461538464,0
STF-001091,5.56,117.4,-0.5,C(CC(C(=O)O)N)CC(=O)O,0.038461538461538464,0
STF-001091,11.11,121.9,-1.3,C(CC(C(=O)O)N)CC(=O)O,0.038461538461538464,0
STF-001091,22.22,118.4,-3.4,C(CC(C(=O)O)N)CC(=O)O,0.038461538461538464,0
STF-001012,1.39,119.7,-1.5,C1=CC(=CC=C1CSC2=NC(=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)N)[N+](=O)[O-],0.0,0
STF-001012,2.78,108.2,-4.2,C1=CC(=CC=C1CSC2=NC(=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)N)[N+](=O)[O-],0.0,0
